Character,Rarity,Max STR,Max HP
Aeleen,4,470,766
Alain,3,415,745
Althemia,3,440,706
Amane,4,494,729
Aoi,3,468,666
Aurien,3,422,724
Berserker,4,444,806
Celliera,4,476,683
Cibella,3,414,748
Cleo,4,432,739
Edward,3,423,723
Eleonora,4,478,741
Elisanne,4,445,728
Erik,3,467,666
Estelle,3,420,729
Euden,4,464,693
Ezelith,5,476,798
Francesca,3,428,719
Halloween Althemia,4,452,786
Halloween Edward,3,465,670
Halloween Elisanne,5,483,793
Hawk,5,494,764
Hildegarde,5,466,810
Hope,3,420,729
Irfan,3,426,722
Joe,3,445,686
Johanna,3,421,739
Julietta,5,466,825
Jurota,3,466,668
Karina,4,452,799
Karl,4,466,769
Kleimann,4,474,761
Lily,5,511,750
Linus,3,419,742
Luca,4,430,743
Luther,4,459,777
Malka,3,435,714
Malora,3,422,727
Maribelle,5,512,748
Melody,3,445,702
Mikoto,5,520,740
Musashi,4,503,719
Nefaria,5,472,801
Nicolas,3,460,673
Orion,4,462,773
Orsem,4,482,738
Philia,3,445,687
Raemond,3,452,682
Ranzal,4,429,756
Rawn,4,454,783
Renelle,3,429,718
Rex,3,464,670
Ricardt,3,420,727
Rodrigo,3,455,677
Ryozen,4,444,808
Sophie,3,421,726
Taro,3,469,664
Thaniel,4,452,784
Vanessa,4,501,720
Verica,4,454,781
Vice,3,429,716
Waike,3,423,725
Xainfried,5,484,792
Xander,5,503,757
Xania,3,461,672
Zace,3,460,672
Zardin,3,410,752
Zethia,5,466,810
