Dragalia Lost Totals

Julietta(5) : 1291
Halloween Elisanne(5) : 1276
Hildegarde(5) : 1276
Xainfried(5) : 1276
Zethia(5) : 1276
Ezelith(5) : 1274
Nefaria(5) : 1273
Lily(5) : 1261
Maribelle(5) : 1260
Mikoto(5) : 1260
Xander(5) : 1260
Hawk(5) : 1258
Ryozen(4) : 1252
Karina(4) : 1251
Berserker(4) : 1250
Halloween Althemia(4) : 1238
Rawn(4) : 1237
Aeleen(4) : 1236
Luther(4) : 1236
Thaniel(4) : 1236
Karl(4) : 1235
Kleimann(4) : 1235
Orion(4) : 1235
Verica(4) : 1235
Amane(4) : 1223
Musashi(4) : 1222
Vanessa(4) : 1221
Orsem(4) : 1220
Eleonora(4) : 1219
Ranzal(4) : 1185
Elisanne(4) : 1173
Luca(4) : 1173
Cleo(4) : 1171
Cibella(3) : 1162
Zardin(3) : 1162
Linus(3) : 1161
Alain(3) : 1160
Johanna(3) : 1160
Celliera(4) : 1159
Euden(4) : 1157
Estelle(3) : 1149
Hope(3) : 1149
Malka(3) : 1149
Malora(3) : 1149
Irfan(3) : 1148
Waike(3) : 1148
Francesca(3) : 1147
Melody(3) : 1147
Renelle(3) : 1147
Ricardt(3) : 1147
Sophie(3) : 1147
Althemia(3) : 1146
Aurien(3) : 1146
Edward(3) : 1146
Vice(3) : 1145
Halloween Edward(3) : 1135
Aoi(3) : 1134
Jurota(3) : 1134
Raemond(3) : 1134
Rex(3) : 1134
Erik(3) : 1133
Nicolas(3) : 1133
Taro(3) : 1133
Xania(3) : 1133
Philia(3) : 1132
Rodrigo(3) : 1132
Zace(3) : 1132
