STATION,DATE,DLY-TAVG-NORMAL
GHCND:USC00412950,20100101,56.1
GHCND:USC00412950,20100401,71.9
GHCND:USC00412950,20100701,85.3
GHCND:USC00412950,20101001,77.8
GHCND:USW00003951,20100101,46.9
GHCND:USW00003951,20100401,61.9
GHCND:USW00003951,20100701,81.8
GHCND:USW00003951,20101001,71.6
GHCND:USC00049099,20100101,49.9
GHCND:USC00049099,20100401,63.2
GHCND:USC00049099,20100701,87.8
GHCND:USC00049099,20101001,75.6
GHCND:USC00410779,20100101,43.5
GHCND:USC00410779,20100401,60.4
GHCND:USC00410779,20100701,80.6
GHCND:USC00410779,20101001,69.5
GHCND:USC00412715,20100101,42.6
GHCND:USC00412715,20100401,58.6
GHCND:USC00412715,20100701,80.4
GHCND:USC00412715,20101001,68.8
GHCND:USC00047902,20100101,55.2
GHCND:USC00047902,20100401,59.0
GHCND:USC00047902,20100701,66.4
GHCND:USC00047902,20101001,66.2
GHCND:USC00042214,20100101,55.9
GHCND:USC00042214,20100401,60.1
GHCND:USC00042214,20100701,69.3
GHCND:USC00042214,20101001,68.0
GHCND:USC00045721,20100101,45.6
GHCND:USC00045721,20100401,55.1
GHCND:USC00045721,20100701,81.2
GHCND:USC00045721,20101001,69.2
GHCND:USC00417170,20100101,56.7
GHCND:USC00417170,20100401,68.6
GHCND:USC00417170,20100701,84.0
GHCND:USC00417170,20101001,79.5
GHCND:USC00045968,20100101,41.1
GHCND:USC00045968,20100401,48.0
GHCND:USC00045968,20100701,69.3
GHCND:USC00045968,20101001,59.8
GHCND:USC00432314,20100101,13.6
GHCND:USC00432314,20100401,32.9
GHCND:USC00432314,20100701,65.3
GHCND:USC00432314,20101001,48.8
GHCND:USC00417179,20100101,59.7
GHCND:USC00417179,20100401,71.0
GHCND:USC00417179,20100701,83.3
GHCND:USC00417179,20101001,78.8
GHCND:USC00418022,20100101,45.1
GHCND:USC00418022,20100401,61.7
GHCND:USC00418022,20100701,80.7
GHCND:USC00418022,20101001,70.1
GHCND:USC00433400,20100101,21.2
GHCND:USC00433400,20100401,37.6
GHCND:USC00433400,20100701,67.0
GHCND:USC00433400,20101001,52.3
GHCND:USC00411875,20100101,45.7
GHCND:USC00411875,20100401,61.3
GHCND:USC00411875,20100701,82.4
GHCND:USC00411875,20101001,71.5
GHCND:USC00410305,20100101,53.5
GHCND:USC00410305,20100401,66.6
GHCND:USC00410305,20100701,82.8
GHCND:USC00410305,20101001,76.4
GHCND:USC00414903,20100101,50.4
GHCND:USC00414903,20100401,64.2
GHCND:USC00414903,20100701,83.3
GHCND:USC00414903,20101001,74.5
GHCND:USC00419361,20100101,53.0
GHCND:USC00419361,20100401,65.2
GHCND:USC00419361,20100701,83.4
GHCND:USC00419361,20101001,75.5
GHCND:USC00417183,20100101,53.6
GHCND:USC00417183,20100401,67.0
GHCND:USC00417183,20100701,84.1
GHCND:USC00417183,20101001,77.1
GHCND:USC00417184,20100101,58.2
GHCND:USC00417184,20100401,70.3
GHCND:USC00417184,20100701,83.4
GHCND:USC00417184,20101001,78.0
GHCND:USC00042467,20100101,27.8
GHCND:USC00042467,20100401,37.7
GHCND:USC00042467,20100701,59.9
GHCND:USC00042467,20101001,50.7
GHCND:USC00418274,20100101,42.0
GHCND:USC00418274,20100401,58.6
GHCND:USC00418274,20100701,81.1
GHCND:USC00418274,20101001,69.3
GHCND:USC00044405,20100101,47.4
GHCND:USC00044405,20100401,57.9
GHCND:USC00044405,20100701,82.4
GHCND:USC00044405,20101001,72.9
GHCND:USC00047916,20100101,51.2
GHCND:USC00047916,20100401,56.5
GHCND:USC00047916,20100701,64.4
GHCND:USC00047916,20101001,63.3
GHCND:USC00046826,20100101,47.1
GHCND:USC00046826,20100401,54.7
GHCND:USC00046826,20100701,66.7
GHCND:USC00046826,20101001,64.7
GHCND:USC00417186,20100101,55.0
GHCND:USC00417186,20100401,66.5
GHCND:USC00417186,20100701,83.1
GHCND:USC00417186,20101001,77.4
GHCND:USC00043551,20100101,35.4
GHCND:USC00043551,20100401,38.0
GHCND:USC00043551,20100701,62.2
GHCND:USC00043551,20101001,54.2
GHCND:USC00044881,20100101,29.4
GHCND:USC00044881,20100401,42.2
GHCND:USC00044881,20100701,66.0
GHCND:USC00044881,20101001,55.2
GHCND:USC00411880,20100101,53.4
GHCND:USC00411880,20100401,65.6
GHCND:USC00411880,20100701,82.8
GHCND:USC00411880,20101001,75.5
GHCND:USC00419367,20100101,54.7
GHCND:USC00419367,20100401,67.1
GHCND:USC00419367,20100701,84.4
GHCND:USC00419367,20101001,76.8
GHCND:USW00093210,20100101,44.8
GHCND:USW00093210,20100401,56.5
GHCND:USW00093210,20100701,78.5
GHCND:USW00093210,20101001,68.9
GHCND:USC00410518,20100101,45.3
GHCND:USC00410518,20100401,61.1
GHCND:USC00410518,20100701,82.8
GHCND:USC00410518,20101001,71.7
GHCND:USW00003971,20100101,46.1
GHCND:USW00003971,20100401,61.3
GHCND:USW00003971,20100701,82.4
GHCND:USW00003971,20101001,71.7
GHCND:USW00093209,20100101,46.3
GHCND:USW00093209,20100401,54.4
GHCND:USW00093209,20100701,71.9
GHCND:USW00093209,20101001,65.9
GHCND:USC00044412,20100101,43.7
GHCND:USC00044412,20100401,49.5
GHCND:USC00044412,20100701,70.4
GHCND:USC00044412,20101001,64.0
GHCND:USC00419330,20100101,33.5
GHCND:USC00419330,20100401,49.2
GHCND:USC00419330,20100701,75.9
GHCND:USC00419330,20101001,61.3
GHCND:USC00045502,20100101,54.9
GHCND:USC00045502,20100401,68.8
