STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-TAVG-STDDEV
GHCND:USW00003951,124.1,32.3466,-94.6533,20100115,10.2
GHCND:USW00003951,124.1,32.3466,-94.6533,20100415,6.9
GHCND:USW00003951,124.1,32.3466,-94.6533,20100715,3.3
GHCND:USW00003951,124.1,32.3466,-94.6533,20101015,7.2
GHCND:USC00049099,602,34.12806,-116.03694,20100115,5.4
GHCND:USC00049099,602,34.12806,-116.03694,20100415,6.7
GHCND:USC00049099,602,34.12806,-116.03694,20100715,4.6
GHCND:USC00049099,602,34.12806,-116.03694,20101015,5.8
GHCND:USC00082915,1.5,29.755,-81.5389,20100115,8.3
GHCND:USC00082915,1.5,29.755,-81.5389,20100415,5.1
GHCND:USC00082915,1.5,29.755,-81.5389,20100715,2.4
GHCND:USC00082915,1.5,29.755,-81.5389,20101015,4.9
GHCND:USC00017020,182.9,32.8711,-86.1758,20100115,9.5
GHCND:USC00017020,182.9,32.8711,-86.1758,20100415,6.7
GHCND:USC00017020,182.9,32.8711,-86.1758,20100715,2.7
GHCND:USC00017020,182.9,32.8711,-86.1758,20101015,6.7
GHCND:USC00412715,438.3,32.39889,-98.8175,20100115,9.9
GHCND:USC00412715,438.3,32.39889,-98.8175,20100415,8.2
GHCND:USC00412715,438.3,32.39889,-98.8175,20100715,3.6
GHCND:USC00412715,438.3,32.39889,-98.8175,20101015,7.6
GHCND:USC00085184,6.4,26.49861,-80.21611,20100115,7.1
GHCND:USC00085184,6.4,26.49861,-80.21611,20100415,4.3
GHCND:USC00085184,6.4,26.49861,-80.21611,20100715,2.2
GHCND:USC00085184,6.4,26.49861,-80.21611,20101015,3.3
GHCND:USC00417170,3.7,27.83806,-97.05917,20100115,7.4
GHCND:USC00417170,3.7,27.83806,-97.05917,20100415,4.6
GHCND:USC00417170,3.7,27.83806,-97.05917,20100715,1.9
GHCND:USC00417170,3.7,27.83806,-97.05917,20101015,5.3
GHCND:USC00417179,5.2,26.0941,-97.3094,20100115,8.2
GHCND:USC00417179,5.2,26.0941,-97.3094,20100415,5.2
GHCND:USC00417179,5.2,26.0941,-97.3094,20100715,2.0
GHCND:USC00417179,5.2,26.0941,-97.3094,20101015,5.2
GHCND:USC00418022,841.2,30.13861,-102.39194,20100115,8.2
GHCND:USC00418022,841.2,30.13861,-102.39194,20100415,7.4
GHCND:USC00418022,841.2,30.13861,-102.39194,20100715,4.0
GHCND:USC00418022,841.2,30.1385,-102.3919,20101015,6.8
GHCND:USC00411875,526.4,31.8211,-99.42,20100115,9.7
GHCND:USC00411875,526.4,31.8211,-99.42,20100415,7.6
GHCND:USC00411875,526.4,31.8211,-99.42,20100715,3.5
GHCND:USC00411875,526.4,31.8211,-99.42,20101015,7.1
GHCND:USC00414903,108.8,29.9172,-96.8752,20100115,9.7
GHCND:USC00414903,108.8,29.9172,-96.8752,20100415,6.6
GHCND:USC00414903,108.8,29.9172,-96.8752,20100715,3.0
GHCND:USC00414903,108.8,29.9172,-96.8752,20101015,7.1
GHCND:USC00419361,30.8,28.86083,-97.01806,20100115,8.3
GHCND:USC00419361,30.8,28.86083,-97.01806,20100415,6.1
GHCND:USC00419361,30.8,28.86083,-97.01806,20100715,2.6
GHCND:USC00419361,30.8,28.86083,-97.01806,20101015,5.8
GHCND:USC00417184,2.7,26.5577,-97.4263,20100115,9.1
GHCND:USC00417184,2.7,26.5577,-97.4263,20100415,5.5
GHCND:USC00417184,2.7,26.5577,-97.4263,20100715,2.2
GHCND:USC00417184,2.7,26.5577,-97.4263,20101015,5.9
GHCND:USC00042467,1809.6,39.3239,-120.2331,20100115,6.8
GHCND:USC00042467,1809.6,39.3239,-120.2331,20100415,6.8
GHCND:USC00042467,1809.6,39.3239,-120.2331,20100715,5.2
GHCND:USC00042467,1809.6,39.3239,-120.2331,20101015,5.9
GHCND:USC00046826,6.1,38.2577,-122.6077,20100115,4.5
GHCND:USC00046826,6.1,38.2577,-122.6077,20100415,4.8
GHCND:USC00046826,6.1,38.2577,-122.6077,20100715,3.9
GHCND:USC00046826,6.1,38.2577,-122.6077,20101015,4.4
GHCND:USC00254900,1168,41.1488,-102.6361,20100115,10.7
GHCND:USC00254900,1168,41.1488,-102.6361,20100415,9.2
GHCND:USC00254900,1168,41.1488,-102.6361,20100715,5.6
